"filename", "language", "C++", "HTML", "Makefile", "Python", "comment", "blank", "total"
"/home/qgjyf2001/work/Makefile", "Makefile", 0, 0, 39, 0, 0, 5, 44
"/home/qgjyf2001/work/app/dir.html", "HTML", 0, 27, 0, 0, 0, 1, 28
"/home/qgjyf2001/work/app/index.html", "HTML", 0, 7, 0, 0, 0, 0, 7
"/home/qgjyf2001/work/app/test.html", "HTML", 0, 23, 0, 0, 0, 2, 25
"/home/qgjyf2001/work/fileSystem/folderHook.cpp", "C++", 72, 0, 0, 0, 0, 3, 75
"/home/qgjyf2001/work/http/http.cpp", "C++", 84, 0, 0, 0, 0, 3, 87
"/home/qgjyf2001/work/http/httpHandler.cpp", "C++", 80, 0, 0, 0, 0, 0, 80
"/home/qgjyf2001/work/http/httpParser.cpp", "C++", 31, 0, 0, 0, 0, 0, 31
"/home/qgjyf2001/work/include/folderHook.h", "C++", 30, 0, 0, 0, 0, 1, 31
"/home/qgjyf2001/work/include/http.h", "C++", 35, 0, 0, 0, 1, 3, 39
"/home/qgjyf2001/work/include/httpBasicResponse.h", "C++", 35, 0, 0, 0, 0, 0, 35
"/home/qgjyf2001/work/include/httpHandler.h", "C++", 48, 0, 0, 0, 1, 1, 50
"/home/qgjyf2001/work/include/httpParser.h", "C++", 15, 0, 0, 0, 0, 0, 15
"/home/qgjyf2001/work/include/httpResponse.h", "C++", 122, 0, 0, 0, 2, 3, 127
"/home/qgjyf2001/work/include/jsonParser.h", "C++", 139, 0, 0, 0, 0, 2, 141
"/home/qgjyf2001/work/include/safeVector.h", "C++", 39, 0, 0, 0, 0, 1, 40
"/home/qgjyf2001/work/include/tcpServer.h", "C++", 26, 0, 0, 0, 0, 4, 30
"/home/qgjyf2001/work/include/threadPool.h", "C++", 26, 0, 0, 0, 0, 0, 26
"/home/qgjyf2001/work/include/webServer.h", "C++", 16, 0, 0, 0, 0, 1, 17
"/home/qgjyf2001/work/json/jsonParser.cpp", "C++", 118, 0, 0, 0, 0, 0, 118
"/home/qgjyf2001/work/main.cpp", "C++", 66, 0, 0, 0, 12, 3, 81
"/home/qgjyf2001/work/safeVector/safeVector.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"/home/qgjyf2001/work/tcp/tcpServer.cpp", "C++", 89, 0, 0, 0, 3, 4, 96
"/home/qgjyf2001/work/test.cpp", "C++", 10, 0, 0, 0, 0, 2, 12
"/home/qgjyf2001/work/test.py", "Python", 0, 0, 0, 7, 1, 1, 9
"/home/qgjyf2001/work/threadPool/threadPool.cpp", "C++", 69, 0, 0, 0, 0, 2, 71
"/home/qgjyf2001/work/webServer/webServer.cpp", "C++", 49, 0, 0, 0, 0, 0, 49
"Total", "-", 1200, 57, 39, 7, 20, 42, 1365